zipcode,eviction_rate_2023,eviction_rate_2025,eviction_rate_change,eviction_rate_pct_change
10001,13.44,16.04,2.6,19.35
10002,7.47,7.33,-0.13,-1.79
10003,6.4,3.66,-2.74,-42.86
10005,21.52,19.25,-2.26,-10.53
10007,12.82,2.85,-9.97,-77.78
10009,6.56,12.43,5.87,89.47
10010,4.74,7.12,2.37,50.0
10011,5.35,6.93,1.59,29.63
10012,8.54,5.55,-2.99,-35.0
10013,4.88,4.88,0.0,0.0
10014,5.53,3.58,-1.95,-35.29
10016,11.16,9.4,-1.76,-15.79
10017,8.23,6.33,-1.9,-23.08
10018,25.81,20.65,-5.16,-20.0
10019,17.62,20.82,3.2,18.18
10021,5.41,5.41,0.0,0.0
10022,9.0,5.78,-3.21,-35.71
10023,6.09,4.0,-2.08,-34.21
10024,3.9,4.92,1.02,26.09
10025,7.87,9.05,1.19,15.07
10026,17.53,23.88,6.35,36.23
10027,14.1,15.49,1.39,9.89
10028,6.07,4.39,-1.67,-27.59
10029,10.93,16.46,5.53,50.57
10030,26.44,46.85,20.41,77.22
10031,19.25,24.89,5.64,29.31
10032,18.21,21.32,3.11,17.09
10033,13.92,21.31,7.38,53.01
10034,21.67,24.0,2.33,10.75
10035,20.42,26.02,5.6,27.4
10036,20.05,31.35,11.3,56.36
10037,25.07,51.56,26.49,105.66
10038,5.26,10.53,5.26,100.0
10039,22.36,41.12,18.75,83.87
10040,18.85,27.37,8.53,45.24
10044,10.27,11.98,1.71,16.67
10065,6.4,3.91,-2.49,-38.89
10069,5.9,19.67,13.77,233.33
10075,6.91,9.94,3.03,43.75
10128,7.76,5.23,-2.53,-32.61
10280,7.46,5.33,-2.13,-28.57
10282,5.36,7.15,1.79,33.33
10301,22.46,25.3,2.84,12.64
10302,13.18,15.93,2.75,20.83
10303,18.5,21.58,3.08,16.67
10304,18.99,25.33,6.33,33.33
10305,9.22,10.4,1.18,12.82
10306,9.97,8.47,-1.51,-15.09
10307,3.94,4.6,0.66,16.67
10308,2.98,4.31,1.33,44.44
10309,3.58,5.96,2.39,66.67
10310,12.47,14.62,2.15,17.24
10312,5.02,2.27,-2.75,-54.84
10314,4.52,6.5,1.98,43.9
10451,25.52,45.82,20.29,79.51
10452,29.57,42.19,12.62,42.67
10453,31.66,47.11,15.45,48.81
10454,28.27,30.36,2.09,7.41
10455,19.87,37.37,17.5,88.1
10456,21.86,40.86,19.0,86.89
10457,32.46,51.1,18.64,57.44
10458,38.23,43.71,5.48,14.33
10459,28.33,41.16,12.82,45.26
10460,35.63,44.87,9.24,25.94
10461,13.9,18.87,4.97,35.71
10462,20.71,33.87,13.16,63.52
10463,14.43,22.0,7.57,52.43
10464,9.02,4.51,-4.51,-50.0
10465,5.66,8.37,2.71,48.0
10466,19.73,25.94,6.21,31.47
10467,30.95,42.42,11.47,37.07
10468,30.26,46.28,16.02,52.94
10469,13.81,15.7,1.9,13.73
10470,19.44,31.75,12.31,63.33
10471,10.5,9.59,-0.91,-8.7
10472,19.77,26.02,6.25,31.62
10473,12.08,19.96,7.88,65.28
10474,18.97,40.41,21.44,113.04
10475,7.41,18.98,11.57,156.25
11001,0.0,20000.0,20000.0,0.0
11004,2.6,4.68,2.08,80.0
11040,0.0,0.0,0.0,0.0
11101,8.32,27.63,19.31,232.0
11102,5.84,15.58,9.74,166.67
11103,6.09,12.73,6.64,109.09
11104,6.13,17.61,11.49,187.5
11105,7.76,12.31,4.55,58.62
11106,4.43,14.6,10.17,229.41
11109,3.34,25.08,21.74,650.0
11201,5.25,9.55,4.3,81.82
11203,20.28,23.59,3.31,16.34
11204,5.72,6.24,0.52,9.09
11205,7.82,11.51,3.69,47.22
11206,8.38,11.32,2.94,35.14
11207,23.38,33.81,10.44,44.65
11208,17.53,18.45,0.91,5.2
11209,9.88,11.21,1.33,13.43
11210,17.0,26.1,9.1,53.51
11211,3.22,6.24,3.02,93.94
11212,28.75,39.99,11.24,39.09
11213,21.27,28.96,7.69,36.17
11214,7.85,7.21,-0.65,-8.22
11215,2.0,2.85,0.86,42.86
11216,14.56,18.29,3.73,25.61
11217,6.04,9.9,3.86,64.0
11218,7.38,7.92,0.54,7.27
11219,4.33,4.66,0.33,7.69
11220,5.96,8.05,2.09,35.09
11221,14.67,18.61,3.94,26.83
11222,7.67,10.96,3.29,42.86
11223,5.99,5.99,0.0,0.0
11224,13.27,22.48,9.21,69.35
11225,15.96,21.4,5.43,34.04
11226,22.14,34.8,12.66,57.21
11228,4.0,4.67,0.67,16.67
11229,5.5,8.13,2.63,47.83
11230,11.11,12.91,1.8,16.16
11231,5.02,4.49,-0.53,-10.53
11232,6.16,5.43,-0.72,-11.76
11233,20.44,26.17,5.73,28.03
11234,6.9,7.0,0.1,1.52
11235,10.75,11.78,1.02,9.52
11236,12.16,10.86,-1.3,-10.66
11237,8.31,10.95,2.64,31.71
11238,7.88,11.92,4.03,51.16
11239,9.82,40.77,30.96,315.38
11354,6.7,13.59,6.88,102.7
11355,6.18,10.88,4.7,76.0
11356,4.71,12.84,8.13,172.73
11357,3.26,2.0,-1.25,-38.46
11358,2.69,5.92,3.23,120.0
11360,4.59,3.06,-1.53,-33.33
11361,2.2,7.71,5.51,250.0
