name,median rent in dollars,5 year change (dollars)
"New York, NY",1779,6
07002,1593,51
07008,2012,155
07020,2645,188
07024,2257,104
07030,2819,125
07036,1622,45
07047,1702,78
07064,,
07077,1382,34
07086,2422,245
07093,1619,63
07202,1508,80
07206,1543,88
07302,2960,103
07305,1610,60
07310,3456,126
07311,3501,
07620,2357,2161
07632,3501,
07670,3143,925
08861,1623,53
10001,3024,311
10002,1207,74
10003,2772,177
10004,3501,
10005,3501,
10006,3501,
10007,3501,
10009,1925,121
10010,3113,168
10011,2868,200
10012,2731,165
10013,2378,406
10014,2998,171
10016,3321,154
10017,2980,214
10018,3501,
10019,2619,251
10020,,
10021,3002,178
10022,2928,172
10023,3050,193
10024,2965,284
10025,2009,153
10026,1546,197
10027,1609,66
10028,2702,132
10029,1183,73
10030,1204,71
10031,1787,86
10032,1546,86
10033,1742,71
10034,1621,55
10035,1283,103
10036,2301,142
10037,1406,108
10038,3140,192
10039,1211,61
10040,1680,53
10044,3305,199
10065,2828,132
10069,3501,
10075,2390,116
10103,,
10110,,
10111,,
10112,,
10115,,
10119,,
10128,2648,200
10152,,
10153,,
10154,,
10162,3501,
10165,,
10167,,
10168,,
10169,,
10170,,
10171,,
10172,,
10173,,
10174,,
10177,,
10199,,
10271,,
10278,,
10279,3501,
10280,3501,
10282,3501,
10301,1697,61
10302,1800,125
10303,1520,234
10304,1516,116
10305,1656,103
10306,1743,74
10307,1618,268
10308,1729,232
10309,1907,379
10310,1638,106
10311,,
10312,1911,166
10314,1726,101
10451,1269,59
10452,1367,28
10453,1393,46
10454,1064,131
10455,1130,68
10456,1194,45
10457,1400,46
10458,1548,42
10459,1285,54
10460,1332,51
10461,1741,50
10462,1711,23
10463,1611,47
10464,1993,385
10465,1774,130
10466,1528,71
10467,1505,32
10468,1594,34
10469,1653,81
10470,1656,90
10471,1729,90
10472,1445,53
10473,1131,84
10474,1406,103
10475,1221,54
10550,1451,83
10704,1898,81
10705,1602,73
10803,2242,209
10805,2018,140
11001,2196,192
11003,2315,216
11004,1967,245
11005,2179,556
11020,2845,380
11021,2184,177
11040,2388,408
11042,,
11096,1944,172
11101,2740,125
11102,2248,66
11103,2120,41
11104,1924,48
11105,2211,41
11106,2032,62
11109,3501,
11201,3207,103
11203,1566,43
11204,1751,31
11205,2307,127
11206,1558,101
11207,1443,60
11208,1563,51
11209,1857,33
11210,1734,38
11211,2357,101
11212,1231,59
11213,1607,70
11214,1710,29
11215,2803,101
11216,2180,72
11217,2800,137
11218,1966,59
11219,1678,44
11220,1688,42
11221,2055,77
11222,2595,81
11223,1653,37
11224,905,72
11225,1733,50
11226,1751,30
11228,1828,68
11229,1666,39
11230,1734,38
11231,2474,139
11232,1972,121
11233,1613,73
11234,1771,44
11235,1649,38
11236,1637,34
11237,2109,89
11238,2511,99
11239,1016,123
11249,2982,255
11354,1766,63
11355,1664,46
11356,2160,109
11357,2228,114
11358,2086,86
11359,,
11360,2329,296
11361,2315,79
11362,2548,685
11363,2235,117
11364,2330,96
11365,1869,136
11366,2101,158
11367,1774,91
11368,1925,46
11369,1983,81
11370,2071,110
11371,,
11372,1795,58
11373,1913,46
11374,1957,66
11375,2126,50
11377,1802,56
11378,1932,53
11379,1989,80
11385,1959,42
11411,1605,201
11412,1630,95
11413,2038,115
11414,1991,135
11415,1909,55
11416,1964,75
11417,1853,64
11418,1788,56
11419,1920,92
11420,2032,112
11421,1901,76
11422,2327,103
11423,1706,66
11424,,
11426,2158,249
11427,1697,90
11428,1827,117
11429,1605,161
11430,,
11432,1841,52
11433,1529,134
11434,1409,104
11435,1820,44
11436,2079,119
11439,,
11451,,
11509,3125,614
11559,2031,327
11580,1852,274
11581,2198,267
11691,1444,86
11692,1274,151
11693,1198,113
11694,1787,105
11697,,
