zipcode,eviction_rate_2023,eviction_rate_2025,eviction_rate_change,eviction_rate_pct_change,total_sales,cash_sales,cash_sale_ratio,median_price_2022,median_price_2024,price_change_dollars,price_change_pct
10001,3.03,1.73,-1.3,-42.86,13.0,11.0,0.85,0.0,0.0,0.0,0.0
10002,1.07,1.07,0.0,0.0,40.0,33.0,0.82,5725000.0,5362500.0,-362500.0,-6.33
10003,0.91,0.37,-0.55,-60.0,87.0,40.0,0.46,7450000.0,8409000.0,959000.0,12.87
10005,3.4,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10007,2.85,0.0,-2.85,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009,0.52,1.04,0.52,100.0,28.0,17.0,0.61,6485000.0,5615000.0,-870000.0,-13.42
10010,0.89,0.89,0.0,0.0,12.0,8.0,0.67,11800000.0,12725000.0,925000.0,7.84
10011,0.4,0.59,0.2,50.0,78.0,64.0,0.82,6501010.0,8050000.0,1548990.0,23.83
10012,1.28,1.28,0.0,0.0,22.0,12.0,0.55,9613000.0,6150000.0,-3463000.0,-36.02
10013,1.04,0.7,-0.35,-33.33,38.0,21.0,0.55,7812500.0,7497500.0,-315000.0,-4.03
10014,1.3,0.65,-0.65,-50.0,66.0,38.0,0.58,8000000.0,7500000.0,-500000.0,-6.25
10016,0.98,0.98,0.0,0.0,40.0,31.0,0.78,5712500.0,4200000.0,-1512500.0,-26.48
10017,1.9,0.63,-1.27,-66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10018,5.16,1.03,-4.13,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10019,2.52,1.6,-0.92,-36.36,31.0,17.0,0.55,7700000.0,4400000.0,-3300000.0,-42.86
10021,0.87,0.87,0.0,0.0,42.0,32.0,0.76,9100000.0,7300000.0,-1800000.0,-19.78
10022,2.25,1.29,-0.96,-42.86,13.0,7.0,0.54,4625000.0,3812500.0,-812500.0,-17.57
10023,0.96,0.8,-0.16,-16.67,21.0,12.0,0.57,5375009.0,5552500.0,177491.0,3.3
10024,0.34,0.85,0.51,150.0,59.0,28.0,0.47,5167500.0,9550000.0,4382500.0,84.81
10025,1.08,0.97,-0.11,-10.0,36.0,28.0,0.78,6250000.0,4650000.0,-1600000.0,-25.6
10026,2.54,3.56,1.02,40.0,41.0,30.0,0.73,2609631.73,1800000.0,-809631.73,-31.02
10027,1.39,2.48,1.08,77.78,78.0,30.0,0.38,2257500.0,2537575.0,280075.0,12.41
10028,0.63,0.63,0.0,0.0,31.0,22.0,0.71,9125000.0,8000000.0,-1125000.0,-12.33
10029,1.76,1.26,-0.5,-28.57,33.0,16.0,0.48,1800000.0,2575000.0,775000.0,43.06
10030,3.01,7.7,4.69,155.56,42.0,21.0,0.5,1887500.0,7403946.0,5516446.0,292.26
10031,2.99,2.99,0.0,0.0,69.0,36.0,0.52,1995250.0,3200000.0,1204750.0,60.38
10032,1.87,2.8,0.93,50.0,20.0,13.0,0.65,1806500.0,2800000.0,993500.0,55.0
10033,2.18,2.35,0.17,7.69,26.0,8.0,0.31,5408075.0,5427875.0,19800.0,0.37
10034,2.56,3.26,0.7,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10035,1.12,3.36,2.24,200.0,36.0,22.0,0.61,2475000.0,1392000.0,-1083000.0,-43.76
10036,2.92,2.55,-0.36,-12.5,22.0,14.0,0.64,5000000.0,4750000.0,-250000.0,-5.0
10037,3.78,8.52,4.73,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10038,1.32,0.88,-0.44,-33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10039,3.97,6.85,2.89,72.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10040,2.92,3.59,0.67,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10044,0.86,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10065,1.07,0.36,-0.71,-66.67,30.0,22.0,0.73,11200000.0,7650000.0,-3550000.0,-31.7
10069,0.0,1.97,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
